n1	t	n2
zinnia	Gener	plante 1
zinnia	Gener	fleur I.2
volubilis	Gener	plante 1
volubilis	Gener	fleur I.2
vipérine	Gener	plante 1
vipérine	Gener	fleur I.2
enfant Adj	Syn_⊂	jeune Adj I.1
enfant Adj	S_1Pred	enfant N, masc I.2
enfant Adj	S_1Pred	enfant N, fém I.2
enfant Adj	Magn	tout Adv
suspense II	S_1^prototyp	enquête I
suspense II	S_1^prototyp	procès
suspense II	S_1^prototyp	compétition
suspense II	Magn	gros Adj VI
suspense II	Bon	haletant II
jasmin I	Gener	plante 1
jasmin I	Gener	fleur I.2
jasmin II	Gener	parfum I.2
joubarbe	Gener	plante 1
joubarbe	Gener	fleur I.2
julienne	Gener	plante 1
julienne	Gener	fleur I.2
jussie	Gener	plante 1
jussie	Gener	fleur I.2
lavande I	Gener	plante 1
lavande I	Gener	fleur I.2
lavande I	Cf	thym 1
lavande II	Gener	eau II
lavande II	Gener	essence III.1
lavande II	Mero	lavande I
lavande III	Syn_⊂	bleu I.a
lavande III	Gener	coloré I.1
thym 1	Cf	lavande I
thym 1	Gener	plante 1
thym 2	Gener	aromate
thym 2	Gener	épice
thym 2	Gener	tisane I
lilas I	Gener	plante 1
lilas I	Gener	fleur I.2
lilas I	Gener	arbuste
lilas II	Syn_⊂	violet a
lilas II	Gener	coloré I.1
pervenche I	Gener	plante 1
pervenche I	Gener	fleur I.2
pervenche II	Syn_⊂	bleu I.a
pervenche II	Gener	coloré I.1
lunaire N	Gener	plante 1
lunaire N	Gener	fleur I.2
lunaire N	Syn	monnaie-du-pape
monnaie-du-pape	Syn	lunaire N
monnaie-du-pape	Gener	plante 1
monnaie-du-pape	Gener	fleur I.2
cake	Gener	gâteau I.a
brownie	Gener	gâteau I.a
gougère	Gener	chou N 1 II
madeleine	Gener	gâteau I.a
pain d’épices	Gener	gâteau I.a
pain d’épices	Sing	tranche
pain d’épices	Sing	morceau I.1b
quatre-quarts	Gener	gâteau I.a
myosotis I	Gener	plante 1
myosotis I	Gener	fleur I.2
myosotis II	Syn_⊂	bleu I.a
myosotis II	Gener	coloré I.1
muscari	Gener	plante 1
muscari	Gener	fleur I.2
rose trémière	Gener	plante 1
rose trémière	Gener	fleur I.2
rose trémière	Syn	passerose
passerose	Syn	rose trémière
passerose	Gener	plante 1
passerose	Gener	fleur I.2
philodendron	Gener	plante 1
philodendron	Gener	fleur I.2
phlox	Gener	plante 1
phlox	Gener	fleur I.2
cosmos 2	Gener	plante 1
cosmos 2	Gener	fleur I.2
poinsettia	Gener	plante 1
poinsettia	Gener	fleur I.2
polygale	Gener	plante 1
polygale	Gener	fleur I.2
populage	Gener	plante 1
populage	Gener	fleur I.2
seringat	Gener	plante 1
seringat	Gener	fleur I.2
appareil III	S_1^prototyp	tarte N I
appareil III	S_1^prototyp	soufflé I
soufflé I	S_2^prototyp	fromage
soufflé I	S_2^prototyp	chocolat I
soufflé I	Gener	plat N II
flan I.1	Gener	entremets 2
flan I.2	Gener	tarte N I
entremets 2	Gener	plat N II
entremets 1	Gener	plat N II
clafoutis	S_2^prototyp	cerise I
clafoutis	Gener	entremets 2
clafoutis	Gener	gâteau I.a
clafoutis	S_2	fruit I.2
kouglof	Gener	brioche I
kouglof	Gener	gâteau I.a
pimprenelle	Gener	plante 1
pimprenelle	Gener	fleur I.2
tartelette	Gener	tarte N I
tarte N II	Gener	coup I.2a
tarte N II	Syn_∩	baffe
tarte N III	Syn_∩	imbécile N, fém
tarte N III	Syn_∩	idiote
tarte N III	Syn_∩	conne
tarte Adj	Syn_∩	bête Adj I
du gâteau	Syn	de la tarte
du gâteau	Syn_⊂	facile
de la tarte	Syn	du gâteau
de la tarte	Syn_⊂	facile
tarte à la crème	Syn_∩	banalité II
croquant N II	Gener	biscuit 1 2
croquant N II	S_2^prototyp	amande
croquant N II	S_2^prototyp	noisette I
croquer 1 I.2	A_1	croquant Adj
croustiller	Syn_∩	croquer 1 I.2
croustiller	A_1	croustillant I
croustillant I	Syn_∩	croquant Adj
rhinanthe	Gener	plante 1
rhinanthe	Gener	fleur I.2
renoncule	Syn_⊃	bouton-d’or I
renoncule	Gener	plante 1
renoncule	Gener	fleur I.2
pétiller I.2	S_1^prototyp	champagne II.a
ostentatoire	S_0Pred	ostentation 1
ostentatoire	Syn_⊂	ostensible
ostentatoire	Syn_∩	voyant Adj I
ostentation 1	Adv_1	avec I.3a
ostentation 1	Adv_1	ostentatoirement
ostentation 1	A_1	ostentatoire
ostentation 2	Qual_1	prétentieux
ostentation 2	Qual_1	frimeur Adj
primevère	Gener	plante 1
primevère	Gener	fleur I.2
étalage I.2b	S_loc	étal
étalage I.2b	S_2	marchandise
étalage I.2a	Syn_∩	collection III
ostensible	Syn_∩	perceptible
ostensible	Syn_∩	visible
ostensible	Syn_∩	évident
ostensible	Syn_∩	manifeste Adj
ostensible	Anti	discret
ostensible	AntiBon	ostentatoire
ostensiblement	A_0	ostensible
ostentatoirement	A_0	ostentatoire
policier Adj II	S_1^prototyp	roman
policier Adj II	S_1^prototyp	film II
haleter I.1	Gener	respirer I
haleter II	A_2	haletant II
lin III.1	Gener	matériau
lin III.1	Gener	fibre I.2
lin III.1	S_1^prototyp	tissu I
lin III.1	Sing_⊃	fil I.1
fibre I.1a	Syn_∩	cellule III
fibre II	Syn_∩	sensibilité IV.3
fibre II	Syn_∩	caractère 1 I.2
fibre II	Magn	fort Adj III.1
fibre II	Manif	vibrer II
fibre I.1c	Redun	alimentaire
fibre I.1c	Gener	substance I.1a
fibre I.1c	S_1^prototyp	aliment I
lin I	Gener	plante 1
lin I	Gener	fleur I.2
lin III.2	Gener	tissu I
lin III.2	Mero	fil de lin
fil de lin	Gener	fil I.1
fil de lin	Mero	lin III.1
lin II	Syn	graine de lin
lin II	S_2^prototyp	huile 1
lin II	S_2^prototyp	huile 2
lin II	Sing_⊂	graine a
lin II	Mero	lin I
graine de lin	Syn	lin II
graine de lin	Sing	graine a
graine de lin	Mero	lin I
roman policier	Gener	roman
roman policier	Syn	polar
polar	Syn	roman policier
tuile I	Mult_⊃	toit
tuile II	Gener	petit four
tuile II	Gener	biscuit 1 2
tuile II	S_2^prototyp	amande
tuile III	Syn_⊂	malheur II
petit four	Gener	biscuit 1 2
macaron I	Gener	petit four
macaron I	Gener	biscuit 1 2
macaron II	Syn_∩	vignette 1
macaron II	Syn_∩	insigne I
macaron III	Gener	coiffure II.1
meringue 1	S_2	pâtissier 1
meringue 1	S_2	pâtissière 1
meringue 2	Gener	biscuit 1 2
maquette II.1	S_0Real_1^usual	maquette II.2
maquette II.1	Syn_∩	plan N 2 I
maquette II.2	S_res	maquette II.1
sablé	Gener	biscuit 1 2
sablé	Gener	gâteau I.b
gaufrette	Gener	biscuit 1 2
gaufre	Gener	mets
gaufre	S_instrCausFunc_0	moule à gaufres I
mets	Gener	aliment I
galette II.1	Syn_∩	disque I.1
galette II.1	Syn_∩	plaque I.1
galette II.2	Syn_⊂	chapeau I
galette II.2	Syn_∩	couvre-chef
galette III	Syn_∩	oseille II
galette des rois	Gener	gâteau I.a
galette des rois	Gener	pâtisserie II
crêpe II	Syn_⊃	bon à rien N
financier N	Gener	gâteau I.a
visitandine II	Gener	gâteau I.a
visitandine I	Gener	religieuse I
petit pain au chocolat	Gener	viennoiserie
petit pain au chocolat	S_2^usual	boulanger N 1
petit pain au chocolat	S_2^usual	boulangère 1
petit pain aux raisins	Syn	escargot II.1
petit pain aux raisins	Gener	viennoiserie
petit pain aux raisins	S_2^usual	boulanger N 1
petit pain aux raisins	S_2^usual	boulangère 1
bûche II	Gener	gâteau I.a
petit pain au lait	Gener	viennoiserie
pain perdu	Gener	mets
île flottante II	Gener	entremets 2
île flottante II	Gener	dessert
île flottante I	Gener	radeau
gâteau II	Gener	mets
gâteau III	Syn_∩	galette II.1
tenir en haleine	Syn_⊂	intéresser
tenir en haleine	Syn_∩	passionner
maître du suspense	Gener	auteur II.a
à suspense	S_1^prototyp	livre 1 1
à suspense	S_1^prototyp	film II
Paris-Brest	Gener	gâteau I.a
Paris-Brest	Gener	pâtisserie II
mille-feuille	Gener	pâtisserie II
mille-feuille	Gener	gâteau I.a
chouquette	Gener	chou N 1 II
moule N, masc II.1	Syn_∩	modèle N I
moule N, masc II.2	Syn_∩	cadre 1 IV.2
moule à gaufres I	Gener	moule N, masc I.b
moule à gaufres I	Gener	ustensile
moule à gaufres II.2	Syn_⊂	imbécile N, masc
moule à gaufres II.2	Syn_∩	cornichon N II
lexicographie	S_1^usual	lexicographe N, fém
lexicographie	S_1^usual	lexicographe N, masc
lexicographie	S_2	lexique
gâteau manqué	Gener	gâteau I.a
observation II	V_0	observer III
observation II	Magn	strict
observation I.2	V_0	observer I.2
observation I.2	S_res	observation III.2
observation I.2	Contr	expérimentation
observer I.3	Syn_∩	espionner II
observer I.3	Syn_∩	épier
matière I.2	Contr	esprit I.1
matière II.3	Real_2	enseigner I
compréhension II	Syn_∩	bienveillance
compréhension II	Syn_∩	compassion
compréhension II	A_1	compréhensif
compréhension II	Anti	incompréhension II
incompréhension II	Anti	compréhension II
sélection 1	Syn_∩	choix 1
sélection 2	Syn_∩	choix 2
sélectionner a	S_0	sélection 1
sélectionner a	Syn_⊂	choisir
sélectionner a	S_res	sélection 2
substance II.1	Syn_∩	essentiel N
substance II.2	Syn_∩	contenu N II
substance I.2	Syn_∩	drogue I
matière II.2	Syn_∩	motif I
matière II.4	S_1^prototyp	crime I.a
matière II.4	S_1^prototyp	délit
matière noire	Contr	matière ordinaire
matière noire	Gener	matière I.1b
matière ordinaire	Contr	matière noire
matière ordinaire	Gener	matière I.1b
matière ordinaire	Anti	antimatière
à belles dents I	Métaphore	à belles dents II
polluer 1	Extension	polluer 2
ami N I.1	Métaphore	ami N II
ami N I.1	Extension	ami N I.3
ami N I.1	Extension	ami N I.2
avion I	Métonymie	avion II
valise I	Métaphore	valise II
amie I.1	Extension	amie I.2
amie I.1	Métaphore	amie II
ami Adj I	Métaphore	ami Adj II
kidnapper I	Métaphore	kidnapper II.1
kidnapper II.1	Extension	kidnapper II.2
propre Adj 1 I.1	Extension	propre Adj 1 I.2
propre Adj 1 II.1	Métonymie	propre Adj 1 II.2
propre Adj 1 II.2	Métaphore	propre Adj 1 II.3
propre Adj 1 II.2	Métaphore	propre Adj 1 II.4
propre Adj 1 I.1	Métonymie	propre Adj 1 II.1
propre Adj 1 I.1	Métaphore	propre Adj 1 III
propre Adj 1 I.1	Métaphore	propre Adj 1 IV.1
propre Adj 1 I.1	Métaphore	propre Adj 1 IV.2
erreur 1	Extension	erreur 2
courriel I	Métonymie	courriel II
boîte aux lettres I.a	Spécialisation	boîte aux lettres I.b
boîte aux lettres I.b	Métaphore	boîte aux lettres II
repéter I	Métaphore	repéter II
parler I.1	Métonymie	parler II.1
parler II.1	Extension	parler II.2
parler I.1	Métaphore	parler III
franchise 1 I.1	Extension	franchise 1 I.2a
franchise 1 I.2a	Métonymie	franchise 1 I.2b
franchise 1 I.1	Métaphore	franchise 1 II
franc Adj 1 I.1	Extension	franc Adj 1 I.2a
franc Adj 1 I.2a	Métonymie	franc Adj 1 I.2b
franc Adj 1 I.1	Métaphore	franc Adj 1 II
franc Adj 1 I.1	Métaphore	franc Adj 1 III
insuffisamment I	Métaphore	insuffisamment II
vouloir dire I	Métaphore	vouloir dire II
signifier I.1	Extension	signifier I.2
signifier I.2	Métaphore	signifier II
s’impliquer 1	Extension	s’impliquer 2
non I	Métaphore	non II
dépotoir I	Métaphore	dépotoir II
impliqué 1	Spécialisation	impliqué 2
impliquer I.1b	Extension	impliquer I.2
impliquer II.1	Causation	impliquer II.2
contorsion I	Métaphore	contorsion II
impliquer I.1a	Extension	impliquer I.1b
impliquer I.1b	Métaphore	impliquer II.1
boîte à lettres a	Spécialisation	boîte à lettres b
cigarette I	Métonymie	cigarette II
cigarette I	Métaphore	cigarette III
personnel N a	Métonymie	personnel N b
allonger 2 I.1	Métaphore	allonger 2 IV
mélodie I.1a	Métonymie	mélodie I.1b
mélodie I.1b	Spécialisation	mélodie I.2
mélodie I.1a	Métaphore	mélodie II
contenu N I	Métaphore	contenu N II
adresse 1 I	Métonymie	adresse 1 II
sprint I.1	Spécialisation	sprint I.2
sprint I.2	Métonymie	sprint II
sprint II	Métonymie	sprint III
bateau N 1 I	Métonymie	bateau N 1 II
bateau N 1 I	Métaphore	bateau N 1 III.1
bateau N 1 I	Métaphore	bateau N 1 III.2
sommeil I.1a	Spécialisation	sommeil I.2
sommeil I.1a	Métaphore	sommeil II
alcool I.1	Spécialisation	alcool I.2
allonger 1 I.1	Métaphore	allonger 1 II.1
s’allonger 1 I.1	Métaphore	s’allonger 1 II.1
bureau I	Métonymie	bureau II.1
bureau II.1	Métonymie	bureau II.2a
bureau II.2a	Métonymie	bureau II.2b
bureau II.2a	Spécialisation	bureau II.3a
bureau I	Métaphore	bureau III
bureau II.3a	Métonymie	bureau II.3b
téléphone I	Métonymie	téléphone II.1
téléphone II.1	Extension	téléphone II.2
moto I	Métonymie	moto II
parc I.1	Extension	parc I.2
parc I.1	Extension	parc I.3
sexe II.1	Métonymie	sexe II.2
sommeil I.1a	Extension	sommeil I.1b
binôme I	Métaphore	binôme II.1
binôme II.1	Métonymie	binôme II.2
franchement I	Métaphore	franchement III.1
franchement III.1	Extension	franchement III.2
franchement I	Métonymie	franchement II.1
franchement II.1	Extension	franchement II.2
calme Adj I	Métaphore	calme Adj II
rapide Adj I.1	Métonymie	rapide Adj I.2
rapide Adj I.1	Métaphore	rapide Adj III.1
rapide Adj III.1	Métonymie	rapide Adj III.2
se nourrir 1	Extension	se nourrir 2
picoler 2a	Extension	picoler 2b
picorer I	Métaphore	picorer II
rétrécir 1	Causation	rétrécir 2
rétrécissement 1	Causation	rétrécissement 2
pédale 1 1	Spécialisation	pédale 1 3a
pédale 1 3a	Métonymie	pédale 1 3b
pédaler I.1	Métaphore	pédaler II
recevoir III.1	Extension	recevoir III.2
pédaler I.1	Extension	pédaler I.2
cristal I.2a	Spécialisation	cristal I.2b
cycliste N, fém I	Métonymie	cyclistes N, fém II
cycliste N, masc I	Métonymie	cycliste N, masc II
meute 1	Extension	meute 2
football 1	Métonymie	football 3
tennis N, masc I.1	Métonymie	tennis N, masc I.2
tennis N, masc I.1	Métonymie	tennis N, masc II
banc 1 I	Métaphore	banc 1 II.1
tabac 1 I.1	Métonymie	tabac 1 I.2
tabac 1 I.2	Métonymie	tabac 1 II
tabac 1 I.2	Métonymie	tabac 1 III
nettement I	Métaphore	nettement II
flûte N I.a	Métonymie	flûte N I.c
flûte N I.a	Métaphore	flûte N II.a
flûte N II.a	Métonymie	flûte N II.b
flûte N I.a	Métaphore	flûte N III
basket-ball 1	Métonymie	basket-ball 2
mère 1 I.1a	Extension	mère 1 I.1b
basket N, masc 1	Métonymie	basket N, masc 2
cigare I	Métonymie	cigare II
cigare I	Métaphore	cigare III.1
cigare III.1	Métonymie	cigare III.2
cigare I	Métaphore	cigare IV
cigare I	Métaphore	cigare V
volcanique I	Métaphore	volcanique II
volley-ball 1	Métonymie	volley-ball 2
volley 1	Métonymie	volley 2
trompette N, fém I	Métonymie	trompette N, fém II
trompette N, masc a	Extension	trompette N, masc b
tambour I	Métonymie	tambour II
tambour I	Métaphore	tambour III
violon I.a	Métonymie	violon I.b
violon I.a	Métaphore	violon II
intime Adj II.2	Métaphore	intime Adj II.4
intime Adj II.2	Métaphore	intime Adj II.4
rugby 1	Métonymie	rugby 2
sommeil I.1a	Métaphore	sommeil III
lessive I	Extension	lessive II.1
chanter I.1a	Spécialisation	chanter I.1b
chanter I.1a	Métaphore	chanter I.2
chanter I.1a	Métaphore	chanter II.1
chanter I.1a	Métaphore	chanter II.2
lessive II.1	Spécialisation	lessive II.2
lessive I	Métonymie	lessive III
lessive I	Métaphore	lessive IV
bouffer 1 I.1a	Métonymie	bouffer 1 I.1b
bouffer 1 I.1a	Métaphore	bouffer 1 I.2
bouffer 1 I.1a	Métaphore	bouffer 1 I.3
bouffer 1 I.1a	Métaphore	bouffer 1 II.1
bouffer 1 I.1a	Métaphore	bouffer 1 II.2
bouffer 1 I.1a	Métaphore	bouffer 1 II.3
bouffer 1 I.1a	Métaphore	bouffer 1 III.1
bouffer 1 I.1a	Métaphore	bouffer 1 III.2
bouffer 1 I.1a	Métaphore	bouffer 1 IV.1
bouffer 1 I.1a	Métaphore	bouffer 1 IV.2
bouffer 1 I.1a	Métaphore	bouffer 1 IV.3
rencontre 2	Extension	rencontre 3
bouffer 1 I.1a	Métaphore	bouffer 1 IV.4a
bouffer 1 IV.4a	Extension	bouffer 1 IV.4b
bouffer 1 I.1a	Métaphore	bouffer 1 V.1a
bouffer 1 V.1a	Métonymie	bouffer 1 V.1b
bouffer 1 I.1a	Métaphore	bouffer 1 V.2
bouffer 1 I.1a	Métaphore	bouffer 1 V.3
bouffer 1 I.1a	Métaphore	bouffer 1 VI.1
bouffer 1 I.1a	Métaphore	bouffer 1 VI.2
bouffer 1 I.1a	Métaphore	bouffer 1 VI.3
bouffer 1 I.1a	Métaphore	bouffer 1 VI.4
dodo I	Métonymie	dodo II
chant I.1a	Extension	chant I.3
chant I.1a	Métonymie	chant II
chant I.1a	Métonymie	chant I.1b
chant I.1a	Métaphore	chant IV.1
chant I.1a	Métaphore	chant IV.2
dormir I.1a	Métaphore	dormir II.2a
endormi I	Métaphore	endormi II
savon 1 a	Métonymie	savon 1 b
chimique II.1	Extension	chimique II.2
savon 2 1	Extension	savon 2 2
profond Adj I.1	Métaphore	profond Adj II
aspirateur N I.1	Extension	aspirateur N I.2
aspirateur N I.1	Métaphore	aspirateur N III
aspirateur N I.1	Métaphore	aspirateur N IV
aspirateur N I.1	Extension	aspirateur N I.3
aspirateur N I.1	Extension	aspirateur N II
cave 1	Extension	cave 2
volley de plage 1	Métonymie	volley de plage 2
musique I.1a	Spécialisation	musique I.1b
musique I.1a	Métonymie	musique I.2a
musique I.1a	Métonymie	musique I.2b
musique I.1a	Métaphore	musique II.1
musique I.1a	Métaphore	musique II.2
chant I.1b	Extension	chant I.2
chant I.1a	Métaphore	chant III
visiteur II	Métaphore	visiteur III
visiteur I	Métaphore	visiteur II
visiteuse II	Métaphore	visiteuse III
musique I.1a	Métonymie	musique I.3
musique I.1a	Métonymie	musique I.4
passage I	Métonymie	passage III
passage I	Métonymie	passage II
musique I.1a	Métaphore	musique III
opéra 1 I	Métonymie	opéra 1 II
alcool I.1	Extension	alcool II.1
alcool II.1	Métonymie	alcool II.2
alcool II.2	Métonymie	alcool III.1
alcool II.2	Métonymie	alcool III.2
alcool II.2	Métaphore	alcool IV
pédale 1 1	Spécialisation	pédales 1 2
dentifrice 1a	Métonymie	dentifrice 1b
dentifrice 1a	Métonymie	dentifrice 2
savon blanc a	Métonymie	savon blanc b
savon d’Alep a	Métonymie	savon d’Alep b
savon de Marseille a	Métonymie	savon de Marseille b
savon noir a	Métonymie	savon noir b
bonnet I	Métaphore	bonnet II.1
bonnet I	Métaphore	bonnet II.1
héliporté I	Métonymie	héliporté II
cercle Ia	Spécialisation	cercle Ib
visage I.1	Métonymie	visage I.2
visage I.1	Métaphore	visage II.1
visage II.1	Extension	visage II.2
bonnet II.1	Métonymie	bonnet II.2
bonnet I	Métaphore	bonnet III
pipe I.a	Métonymie	pipe II
pipe I.a	Métaphore	pipe III
pipe I.a	Métaphore	pipe IV
pipe I.a	Métaphore	pipe V
vitrine I.1	Métonymie	vitrine I.2
fauteuil I	Métaphore	fauteuil II
visite I	Métonymie	visite III.1a
visite III.1a	Spécialisation	visite III.2a
visite III.2a	Spécialisation	visite III.2b
visite III.1a	Métaphore	visite IV
visiteuse I	Métaphore	visiteuse II
visite I	Métonymie	visite II
bref I	Métaphore	bref II
canapé I	Métaphore	canapés II
lever V I	Métaphore	lever V II.2b
lever V I	Métaphore	lever V II.2a
ping-pong I.1	Métonymie	ping-pong I.2
ping-pong I.1	Métonymie	ping-pong II
ping-pong I.1	Métaphore	ping-pong III
accompli I	Métaphore	accompli II
copain 1	Extension	copain 2
inséparable I	Métaphore	inséparable II
fidèle Adj I.a	Extension	fidèle Adj I.b
concert I	Métaphore	concert II.1
concert II.1	Extension	concert II.2
concert I	Métaphore	concert III.1
concert III.1	Métonymie	concert III.2
numéro I.1	Spécialisation	numéro I.2
numéro I.1	Spécialisation	numéro I.3
numéro I.1	Spécialisation	numéro I.4a
numéro I.1	Métonymie	numéro II.1
numéro I.1	Métonymie	numéro II.2
numéro I.4a	Métaphore	numéro I.4b
numéro I.1	Métonymie	numéro II.3a
numéro II.3a	Métaphore	numéro II.3b
lever V V	Métaphore	lever V VI.2a
cave à cigares I	Métaphore	cave à cigares II
cave à cigares I	Métonymie	cave à cigares III
cave à vin I	Métaphore	cave à vin II
cave à vin I	Métonymie	cave à vin III
bandit I	Métaphore	bandit II.2
bête Adj II.1	Extension	bête Adj II.2
réserve I.1	Métonymie	réserve I.2
moulin I	Métonymie	moulin II
orpheline a	Extension	orpheline b
orphelin N I.a	Extension	orphelin N I.b
orphelin N I.a	Métaphore	orphelin N II
orphelin Adj I.1a	Extension	orphelin Adj I.1b
orphelin Adj I.1a	Extension	orphelin Adj I.2
hostilité I	Métonymie	hostilités II.1
hostilités II.1	Extension	hostilités II.2
autoroute I	Métonymie	autoroute II
W.-C. a	Métonymie	W.-C. b
cabinet I.1	Extension	cabinets I.2a
toilettes III.1a	Métonymie	toilettes III.1b
waters a	Métonymie	waters b
water-closet a	Métonymie	water-closet b
tinette a	Métonymie	tinettes b
vécés a	Métonymie	vécés b
wawas a	Métonymie	wawas b
cagoinces a	Métonymie	cagoinces b
chiottes I.a	Métonymie	chiottes I.b
chiottes I.a	Métaphore	chiotte II
goguenots a	Métonymie	goguenots b
gogues a	Métonymie	gogues b
tartisses a	Métonymie	tartisses b
cabinet d’aisances a	Métonymie	cabinet d’aisances b
commodités II.2a	Métonymie	commodités II.2b
commodités II.1	Métonymie	commodités II.2a
lieux d’aisances a	Métonymie	lieux d’aisances b
sanitaires N I	Métonymie	sanitaires N II.a
sanitaires N II.a	Métonymie	sanitaires N II.b
latrines a	Métonymie	latrines b
multiplier I.a	Métaphore	multiplier II.2
vache I.a	Métonymie	vache I.b
vache I.a	Métaphore	vache II.1a
vache I.a	Métaphore	vache II.1b
vache I.a	Métaphore	vache II.2
pessimiste Adj a	Métonymie	pessimiste Adj b
yaourt a	Métonymie	yaourt b
surface I.1a	Spécialisation	surface I.1b
veste 2 1	Extension	veste 2 2
au banc des accusés I.1	Métaphore	au banc des accusés I.2
au banc des accusés I.1	Métaphore	au banc des accusés I.2
impair Adj I	Métonymie	impair Adj II
impair Adj I	Métaphore	impair Adj III
abeille I.a	Métaphore	abeilles II
guerre I	Métonymie	guerre II
médical I	Métonymie	médical II
hôte N, masc 1	Extension	hôte N, masc 2a
hôte N, masc 2a	Extension	hôte N, masc 2b
hôte N, fém 1	Extension	hôte N, fém 2a
hôte N, fém 2a	Extension	hôte N, fém 2b
pipe I.a	Métonymie	pipe I.b
lever V V	Métaphore	lever V VII
torchon I	Métaphore	torchon II
banc 1 I	Extension	banc 1 III.1
lever V III	Métaphore	lever V VIII
insecte I.a	Spécialisation	insectes I.b
insecte I.a	Métaphore	insecte II
moyenne I.1	Extension	moyenne I.2
moyenne I.1	Métaphore	moyenne II
carte de visite I	Métaphore	carte de visite II
abeille I.a	Spécialisation	abeilles I.b
source I.1	Spécialisation	source I.2
source I.2	Métaphore	source II
torrent I	Métaphore	torrent II
à sec I.1	Spécialisation	à sec I.2
à sec I.1	Métaphore	à sec II
dizaine I.1	Spécialisation	dizaine I.2
dizaine II.a	Métonymie	dizaine II.b
couteau I.a	Spécialisation	couteau I.b
couteau I.a	Spécialisation	couteau I.c
hache a	Spécialisation	hache b
rivière I	Métaphore	rivière II.a
rivière I	Métaphore	rivière III.1
rivière I	Métaphore	rivière III.2
multiplier I.a	Spécialisation	multiplier I.b
multiplier I.a	Métaphore	multiplier II.1
rivière II.a	Extension	rivière II.b
s’écouler I	Métaphore	s’écouler II
se répandre I	Métaphore	se répandre II
confirmer I.a	Métonymie	confirmer I.b
confirmer I.a	Métaphore	confirmer II.a
confirmer II.a	Métonymie	confirmer II.b
savant Adj I.1	Métaphore	savant Adj III.1
vingtaine 1	Spécialisation	vingtaine 2
dizaine I.1	Métonymie	dizaine II.a
transporter I	Métonymie	transporter II
électrique a	Extension	électrique b
haie I	Métaphore	haie II
équipement I	Métonymie	équipement II.1
équipement II.1	Extension	équipement II.2
obstacle I.a	Métaphore	obstacle II
manche N, masc I.1	Spécialisation	manche N, masc I.2
obstacle I.a	Spécialisation	obstacle I.b
diamant I.a	Métonymie	diamant I.b
diamant I.b	Métonymie	diamant II
sale Adj I.1	Extension	sale Adj I.2
sale Adj I.1	Métonymie	sale Adj V.1
sale Adj I.1	Métonymie	sale Adj II.1
sale Adj I.1	Métonymie	sale Adj II.2
marche forcée I.1	Métaphore	marche forcée I.2
chaussettes I	Métaphore	chaussette II.1
chaussettes I	Métaphore	chaussette II.2
chaussettes I	Métaphore	chaussette II.3
chaussettes I	Métaphore	chaussette III
sale Adj I.1	Métonymie	sale Adj II.3
sale Adj I.1	Métaphore	sale Adj III
sale Adj I.1	Métaphore	sale Adj IV
sale Adj I.1	Métaphore	sale Adj V.2
sale Adj I.1	Métaphore	sale Adj V.3a
sale Adj I.1	Métaphore	sale Adj V.3b
traduire I	Métaphore	traduire II
cravate I.1	Extension	cravate I.2
cravate I.1	Métaphore	cravate II.1
cravate I.1	Métaphore	cravate II.2
cravate I.1	Métaphore	cravate III
thé I	Métonymie	thé II
café I	Métonymie	café II
café II	Métonymie	café III
automobile N I	Métonymie	automobile N II
évacuation I	Métaphore	évacuation II
vieux Adj I.1a	Extension	vieux Adj I.2
vieux Adj I.1a	Métaphore	vieux Adj II
bague I	Métaphore	bague II
vin I.1	Extension	vin I.2
vin I.1	Métonymie	vin II
boucher N I.1	Métaphore	boucher N II
boucher N I.1	Métaphore	boucher N III
chapelet I.a	Métaphore	chapelet II
chapelet II	Métaphore	chapelet III
mère 1 I.1a	Métaphore	mère 1 II
mère 1 I.1a	Métaphore	mère 1 IV.1a
mère 1 I.1a	Métaphore	mère 1 IV.2
ennemi N I	Métaphore	ennemi N II
ennemi N I	Métaphore	ennemi N IV
grand-père I	Métaphore	grand-père II
accéder I	Métaphore	accéder II.1
contenir I	Métaphore	contenir III
contenir I	Métaphore	contenir II
accéder I	Métaphore	accéder II.2
se lever I.a	Extension	se lever I.b
se lever I.a	Métaphore	se lever III
analogique 1	Extension	analogique 3
analogique 1	Extension	analogique 2
cafetière I	Métaphore	cafetière II
radiateur 1	Extension	radiateur 2
boîtier 1	Extension	boîtier 2
armoire 1	Extension	armoire 2
ivre I.1	Extension	ivre I.2
ivre I.1	Métaphore	ivre II.1
ivre I.1	Métaphore	ivre II.2
armoire à glace I	Métaphore	armoire à glace II
armoire normande I	Métaphore	armoire normande II
travail 1 I.1a	Spécialisation	travail 1 I.1c
travail 1 I.1a	Résultat	travail 1 I.1b
travail 1 I.1a	Métonymie	travail 1 I.3
travail 1 I.1a	Spécialisation	travail 1 I.4
travail 1 I.4	Extension	travail 1 I.5
travail 1 I.1a	Spécialisation	travail 1 I.6
travail 1 I.1a	Spécialisation	travail 1 I.7
travail 1 I.1a	Extension	travail 1 I.2
travail 1 I.2	Métonymie	travail 1 II.2
travail 1 I.2	Extension	travail 1 II.3
travail 1 I.1a	Métaphore	travail 1 III
travail 1 I.1a	Métaphore	travail 1 IV
travail 1 I.1a	Métaphore	travail 1 V.1
travail 1 V.1	Causation	travail 1 V.2
travail 1 V.1	Causation	travail 1 V.3
travail 1 V.1	Spécialisation	travail 1 VI
